,markdown_content,preprocessed_markdown
985,"['In this kernel we will take a look on how to use StackNet to stack multiple levels of models in order to efficiently blend models. StackNet is a powerful package that works really well for competitions! We are going to stack a random forest on top of 3 GBM models as an example. We will use data from the [IEEE Fraud Detection](https://www.kaggle.com/c/ieee-fraud-detection) competition to explain StackNet.\n', '\n', 'StackNet was created by Kaggle Grandmaster Marios Michailidis ([kazanova](https://www.kaggle.com/kazanova)) as part of his PhD. Thanks to [Kiran Kunapuli](https://www.kaggle.com/kirankunapuli) for uploading the package as [a Kaggle dataset](https://www.kaggle.com/kirankunapuli/pystacknet) so it can conveniently be used with Kaggle kernels.\n', '\n', ""Let's dive in!""]",kernel take look use stacknet stack multipl level model order effici blend model stacknet power packag work realli well competit go stack random forest top 3 gbm model exampl use data ieee fraud detect http www kaggl com c ieee fraud detect competit explain stacknet stacknet creat kaggl grandmast mario michailidi kazanova http www kaggl com kazanova part phd thank kiran kunapuli http www kaggl com kirankunapuli upload packag kaggl dataset http www kaggl com kirankunapuli pystacknet conveni use kaggl kernel let dive
986,['## Table Of Contents'],tabl content
987,"['- [Dependencies](#1)\n', '- [Metric (AUC)](#2)\n', '- [Data Preparation](#3)\n', '- [Modeling](#4)\n', '- [Evaluation](#5)\n', '- [Submission](#6)']",depend 1 metric auc 2 data prepar 3 model 4 evalu 5 submiss 6
988,"['## Dependencies <a id=""1""></a>']",depend id 1
989,"['## Metric (AUC) <a id=""2""></a>']",metric auc id 2
990,"['The Metric used in this competition is ""[Area Under ROC Curve (AUC)](https://en.wikipedia.org/wiki/Receiver_operating_characteristic)"". We create this curve by plotting the true positive rate (TPR) against the false positive rate (FPR) at different threshold settings. \n', 'This is very convenient since with binary classification problems like fraud detection the accuracy score is not that informative. For example, if we predict only 0 (not fraud) on this dataset, then we will get an accuracy score of 0.965. The AUC score will be 0.5 (no better than random). All naive baselines will get an AUC score of approximately 0.5.\n', '\n', ""To calculate the AUC score we can use [sklearn's roc_auc_score function](https://scikit-learn.org/stable/modules/generated/sklearn.metrics.roc_auc_score.html) straight out of the box.""]",metric use competit area roc curv auc http en wikipedia org wiki receiv oper characterist creat curv plot true posit rate tpr fals posit rate fpr differ threshold set conveni sinc binari classif problem like fraud detect accuraci score inform exampl predict 0 fraud dataset get accuraci score 0 965 auc score 0 5 better random naiv baselin get auc score approxim 0 5 calcul auc score use sklearn roc auc score function http scikit learn org stabl modul gener sklearn metric roc auc score html straight box
991,"['Image: An example of an ROC curve. AOC is a typo and should be AUC.\n', '\n', '![](https://miro.medium.com/max/722/1*pk05QGzoWhCgRiiFbz-oKQ.png)']",imag exampl roc curv aoc typo auc http miro medium com max 722 1 pk05qgzowhcgriifbz okq png
992,['To plot the ROC curve we will use a function using sklearn and matplotlib. An example of this visualization is shown in the evaluation section of this kernel.'],plot roc curv use function use sklearn matplotlib exampl visual shown evalu section kernel
993,"['## Data Preparation <a id=""3""></a>']",data prepar id 3
994,"['Since this kernel is meant to explain StackNet and establish a baseline we will not go into advanced feature engineering and EDA here. However, your performance will greatly benefit from feature engineering so I encourage you to explore it. A good kernel which does that for this competition can be found [here](https://www.kaggle.com/kyakovlev/ieee-gb-2-make-amount-useful-again?scriptVersionId=18874747).']",sinc kernel meant explain stacknet establish baselin go advanc featur engin eda howev perform greatli benefit featur engin encourag explor good kernel competit found http www kaggl com kyakovlev ieee gb 2 make amount use scriptversionid 18874747
995,"[""StackNet does not accept missing values (NaN's), Infinity values (inf) or values higher than 32 bytes (for example float64 or int64). Therefore, we have to fill in missing values and compress certain columns as the Pandas standard is 64 bytes. Big thanks to [Arjan Groen](https://www.kaggle.com/arjanso) for creating this convenient function. The function is taken from [this Kaggle kernel](https://www.kaggle.com/arjanso/reducing-dataframe-memory-size-by-65).""]",stacknet accept miss valu nan infin valu inf valu higher 32 byte exampl float64 int64 therefor fill miss valu compress certain column panda standard 64 byte big thank arjan groen http www kaggl com arjanso creat conveni function function taken kaggl kernel http www kaggl com arjanso reduc datafram memori size 65
996,"['## Modeling <a id=""4""></a>']",model id 4
997,"['StackNet allows you to define all kinds of models. For example, Sklearn models, LightGBM, XGBoost, CatBoost and Keras models can all be used with StackNet.\n', '\n', ""For the individual models, you are responsible for not overfitting. Therefore, it is advisable to first experiment with individual models and make sure they are sound, before combining them into StackNet. For this example we will use [sklearn's Gradient Boosting Regressor](https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.GradientBoostingRegressor.html), a [LightGBM Regressor](https://lightgbm.readthedocs.io/en/latest/pythonapi/lightgbm.LGBMRegressor.html#lightgbm.LGBMRegressor) and a [CatBoost Regressor](https://catboost.ai/docs/concepts/python-reference_catboostregressor.html) in the 1st level. Then we will train a [Random Forest Regressor](https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.RandomForestRegressor.html) in level 2, which takes the predictions of the models in the 1st level as input. StackNet takes care of the stacking and cross validation.""]",stacknet allow defin kind model exampl sklearn model lightgbm xgboost catboost kera model use stacknet individu model respons overfit therefor advis first experi individu model make sure sound combin stacknet exampl use sklearn gradient boost regressor http scikit learn org stabl modul gener sklearn ensembl gradientboostingregressor html lightgbm regressor http lightgbm readthedoc io en latest pythonapi lightgbm lgbmregressor html lightgbm lgbmregressor catboost regressor http catboost ai doc concept python refer catboostregressor html 1st level train random forest regressor http scikit learn org stabl modul gener sklearn ensembl randomforestregressor html level 2 take predict model 1st level input stacknet take care stack cross valid
998,"['The model tree that StackNet takes as input is a list of lists. The 1st list defines the 1st level, the 2nd one the 2nd level, etc. You can build a model tree of arbitrary depth and width.']",model tree stacknet take input list list 1st list defin 1st level 2nd one 2nd level etc build model tree arbitrari depth width
